era,segment_type,n
2015_2023,arterial,482
post_2023,arterial,431
2003_2014,arterial,391
2015_2023,collector,379
1998_2002,arterial,377
post_2023,collector,369
1998_2002,collector,308
2003_2014,collector,287
2015_2023,no_feature,219
post_2023,no_feature,195
1998_2002,no_feature,173
post_2023,mixed,146
2003_2014,no_feature,132
2015_2023,mixed,129
1998_2002,mixed,119
2003_2014,mixed,109
post_2023,park_water,78
2015_2023,park_water,77
1998_2002,park_water,68
2003_2014,park_water,65
1998_2002,residential,16
2003_2014,residential,11
post_2023,residential,11
2015_2023,residential,7
