alderman,n_rezonings,downzone_share,mean_far_change_raw,alderman_fe_raw,alderman_se,shrinkage_B,alderman_fe_shrunk,strictness_index,n_rezonings_all_approved,downzone_share_all_approved,mean_far_change_raw_all_approved
Sophia King,5,0.6,-2.92,-3.7714657698835525,0.5007121424924672,0.46740858764734994,-1.5818017710147014,1.5818017710147014,16,0.4375,-0.5625
Anthony Beale,25,0.56,-0.316,-1.617130098647717,0.45118745480912464,0.5194267642589919,-0.6388218135625328,0.6388218135625328,47,0.425531914893617,-0.2042553191489362
Pat Dowell,13,0.5384615384615384,-0.42307692307692313,-1.3362151782127123,0.34190995964646553,0.653037337566911,-0.6196960820501767,0.6196960820501767,64,0.359375,-0.029687500000000016
Michael Scott Jr.,15,0.7333333333333333,-0.6333333333333334,-1.2813136209675098,0.32157381879662966,0.6802797544773862,-0.6081992013668295,0.6081992013668295,29,0.6896551724137931,-0.5896551724137932
Burton Natarus,4,0.5,-1,-1.6339924982849592,0.5427992843393744,0.42752232423565223,-0.5330013396661845,0.5330013396661845,7,0.2857142857142857,-0.14285714285714285
Todd Stroger,5,0.8,-0.5200000000000001,-1.7862120665483405,0.6039815154208061,0.3762313730101028,-0.5263255772290016,0.5263255772290016,5,0.8,-0.5200000000000001
Joe Moore,10,0.1,-0.04500000000000011,-1.5122502944304408,0.5083312548237818,0.4598976641575614,-0.5173754218561861,0.5173754218561861,38,0.10526315789473684,0.4473684210526316
Carlos Ramirez-Rosa,13,0.46153846153846156,-0.23846153846153859,-1.0666003072093941,0.3171442917003385,0.6862828954180317,-0.46621219151814536,0.46621219151814536,49,0.22448979591836735,0.3224489795918367
Michelle A. Harris,14,0.14285714285714285,0.06071428571428571,-1.2452881092979426,0.48413207596312124,0.48420437752436607,-0.41545571624669503,0.41545571624669503,30,0.23333333333333334,-0.05500000000000008
Marty Quinn,11,0.7272727272727273,-0.2727272727272727,-1.011308065841959,0.4094382091728361,0.5675691072956777,-0.35418424938657506,0.35418424938657506,25,0.52,-0.08999999999999998
Fredrenna Lyle,7,0.2857142857142857,0.07142857142857144,-1.149291798550502,0.5085577214129109,0.45967639936524146,-0.3502830490064265,0.3502830490064265,11,0.18181818181818182,0.3181818181818182
Patrick Daley Thompson,27,0.4074074074074074,0.06481481481481471,-0.8011629394200757,0.24257040538102823,0.7890032961471717,-0.3265622281841458,0.3265622281841458,78,0.38461538461538464,0.024358974358974404
Bernard Stone,4,0.25,0.037500000000000006,-1.2540468633485617,0.6058084353257494,0.3748148536762561,-0.32488052717026245,0.32488052717026245,10,0.3,0.145
Ed Smith,3,0.6666666666666666,-0.6666666666666669,-1.2357428891210924,0.6344156682805338,0.35345268574081035,-0.29989472341453505,0.29989472341453505,14,0.35714285714285715,0.6357142857142857
Scott Waguespack,82,0.3170731707317073,0.05426829268292683,-0.6945826909646927,0.16466812521586732,0.8902842451690395,-0.2735948964381495,0.2735948964381495,170,0.25882352941176473,0.125
John Pope,6,0.16666666666666666,0.2833333333333333,-1.292525458766086,0.7336251134311178,0.29018528860833115,-0.2626915718884105,0.2626915718884105,14,0.07142857142857142,0.28214285714285714
Dorothy Tillman,3,0.3333333333333333,-0.1666666666666667,-1.1042722859660552,0.6310933929877931,0.355856095366048,-0.2551493338023286,0.2551493338023286,4,0.25,-0.12500000000000006
Debra Silverstein,5,0.2,0.2000000000000001,-1.005652149853006,0.5606750727001963,0.4117414148899836,-0.2546131941518242,0.2546131941518242,21,0.23809523809523808,0.14523809523809517
Susan Sadlowski Garza,4,0.25,0.26249999999999996,-1.2044712040224652,0.7197860828300737,0.2980928457882249,-0.24360158114324776,0.24360158114324776,10,0.1,0.18999999999999995
Dick Mell,10,0.3,0.19499999999999998,-0.7615209894742987,0.36104412608960224,0.6279685328503322,-0.23501731528861788,0.23501731528861788,18,0.2777777777777778,0.4333333333333333
Patrick O'Connor,28,0.21428571428571427,0.5089285714285714,-0.7301077865730736,0.3335891598191138,0.6641161482277771,-0.22768355031762452,0.22768355031762452,55,0.14545454545454545,0.4763636363636364
Patrick Levar,11,0.18181818181818182,0.12272727272727277,-0.7721760658257573,0.39220656100434037,0.5885403917264723,-0.22653227051459085,0.22653227051459085,14,0.21428571428571427,0.17142857142857149
Theodore Matlak,22,0.2727272727272727,0.14545454545454536,-0.673947305249933,0.2514160364201526,0.7768310571029746,-0.22269917907776796,0.22269917907776796,25,0.24,0.19199999999999992
Eugene Schulter,22,0.22727272727272727,0.28636363636363643,-0.6917981432977203,0.29014304353673115,0.7232747197927538,-0.22025689766322976,0.22025689766322976,30,0.2,0.3866666666666666
Virginia Rugai,14,0.07142857142857142,0.07142857142857147,-0.8003224182809596,0.44750551283821605,0.5235162053976887,-0.21623919323136404,0.21623919323136404,14,0.07142857142857142,0.07142857142857147
Raymond Lopez,14,0.35714285714285715,0.17142857142857149,-0.6958712881279832,0.3265807093092748,0.6735219260069476,-0.2078491660492161,0.2078491660492161,39,0.23076923076923078,0.2858974358974359
Rossana Rodriguez-Sanchez,10,0.2,0.13,-0.6978144338877033,0.35966822137211374,0.6297508220393561,-0.19556508152839774,0.19556508152839774,40,0.05,0.7124999999999999
William Beavers,1,1,-0.2999999999999999,-1.6780395485807045,1.1403072178968947,0.14472421546485403,-0.18680548823597073,0.18680548823597073,1,1,-0.2999999999999999
Carrie Austin,11,0,0.3227272727272727,-0.7795871056877033,0.512307459321714,0.45602940090351474,-0.17890775015693994,0.17890775015693994,25,0.04,0.25599999999999995
Bill Conway,3,0.3333333333333333,-0.33333333333333337,-0.8685562185359661,0.6160385066937587,0.36700037524562085,-0.17663191335654987,0.17663191335654987,7,0.14285714285714285,0.4285714285714287
Monique Scott,1,1,-1.0000000000000002,-1.463527005951304,1.0618125766668667,0.1632895013709757,-0.1757413321666688,0.1757413321666688,32,0.65625,-0.20625
Sharon Denise Dixon,1,1,-1.0000000000000002,-1.4526604307569784,1.0655561191261302,0.16233009179246322,-0.17294478954640657,0.17294478954640657,8,0.375,-0.21250000000000002
Matthew O'Shea,23,0.21739130434782608,0.10217391304347827,-0.6883226380766558,0.41061681511458764,0.5661575811683951,-0.17044275600614475,0.17044275600614475,39,0.23076923076923078,0.1205128205128205
Harry Osterman,4,0,0.5249999999999999,-0.8390429422245438,0.6126354287050488,0.3695778965908224,-0.1669649821039888,0.1669649821039888,18,0.2222222222222222,-0.038888888888888924
Derrick Curtis,7,0,0,-0.6951210593623482,0.4723077343290496,0.4965626743456861,-0.15286692664632565,0.15286692664632565,10,0,0
Frank Olivo,5,0.4,0.06000000000000006,-0.6946332701535276,0.5215440479778755,0.44717895416519277,-0.13744600864452708,0.13744600864452708,6,0.5,-0.04166666666666661
Silvana Tabares,3,0.3333333333333333,-0.09999999999999998,-0.7687810219409599,0.6465636640857136,0.3448326774850621,-0.13155717643058618,0.13155717643058618,8,0.125,0.09374999999999999
James Balcer,35,0.2571428571428571,0.3114285714285714,-0.5393811766561125,0.21783727936403907,0.8225930364231053,-0.12512490108697255,0.12512490108697255,80,0.35,0.024999999999999963
Maria Hadden,3,0,0.6166666666666666,-0.7658408783487811,0.6955354736833063,0.31263006336641774,-0.11835237408402301,0.11835237408402301,15,0,1.2033333333333334
William D. Burns,3,0,0.4,-0.7247394381168757,0.6509777541853085,0.3417649303496658,-0.11533493084443493,0.11533493084443493,9,0,0.37777777777777777
Gregory Mitchell,1,0,0.25,-1.1623069336114984,1.137243981902448,0.14539140583694538,-0.1126835867624752,0.1126835867624752,8,0,0.36874999999999997
Thomas Murphy,2,0,0,-0.8030747910599167,0.7778076842952094,0.2666968410670986,-0.11089359940329707,0.11089359940329707,2,0,0
Michael Zalewski,25,0.12,0.07199999999999998,-0.531743451733302,0.3183440894826964,0.6846546807927927,-0.09891384769363316,0.09891384769363316,34,0.14705882352941177,0.04558823529411767
Margaret Laurino,19,0,0.5184210526315789,-0.5283550500275904,0.3310698828296445,0.6674896788613447,-0.09417225192234395,0.09417225192234395,37,0.13513513513513514,0.40675675675675677
Anthony Napolitano,5,0,0.37,-0.6126063868864087,0.565374440127645,0.4077041448955852,-0.09187023516215946,0.09187023516215946,13,0,0.3807692307692308
Toni Preckwinkle,2,0.5,1.1102230246251565e-16,-0.7045017277276977,0.7785086630145199,0.2663446439654452,-0.08449274700019391,0.08449274700019391,4,0.5,-0.12499999999999989
Roderick Sawyer,5,0.2,0.57,-0.589513048698171,0.5579117117090207,0.41413691962406074,-0.08375596401203984,0.08375596401203984,22,0.22727272727272727,0.1818181818181818
Julia Ramirez,1,0,0,-0.8692776194297398,1.050448831482186,0.1662510095095033,-0.08013411314224894,0.08013411314224894,5,0,0.45999999999999996
Brian Doherty,12,0.25,0.4749999999999999,-0.5233746274786775,0.44641914522063697,0.5247286554751082,-0.07141755574109261,0.07141755574109261,13,0.23076923076923078,0.43846153846153846
Samantha Nugent,3,0,0.6,-0.591807079049449,0.6559377947925047,0.3383580413736472,-0.06920648015935278,0.06920648015935278,18,0,0.6194444444444445
Robert Fioretti,10,0.3,0.14000000000000004,-0.4874008151110507,0.34385891150546305,0.6504571172680457,-0.06513025289560825,0.06513025289560825,41,0.1951219512195122,0.30853658536585366
Angela Clay,2,0,0.4,-0.6228633906999643,0.762229180936618,0.27468470056069266,-0.06471366837036173,0.06471366837036173,10,0,1.7
Ruth Cruz,1,0,0,-0.7147016610477541,1.0544350953354322,0.16520364144959757,-0.05409276343487941,0.05409276343487941,10,0,1.145
Peter Chico,3,0,0.8666666666666667,-0.566346430349771,0.7903697233475727,0.2604772164863149,-0.0466451104871176,0.0466451104871176,7,0.14285714285714285,0.2285714285714285
Howard Brookins,19,0.05263157894736842,0.5368421052631579,-0.46483098778028875,0.38915393584039254,0.5923194047691955,-0.045940378684554604,0.045940378684554604,32,0.125,0.36406249999999996
Michele Smith,27,0.2222222222222222,0.32592592592592584,-0.4418519219324857,0.25473276642803167,0.7722538954890086,-0.04215045068803206,0.04215045068803206,47,0.23404255319148937,0.11063829787234039
Jim Gardiner,11,0.09090909090909091,0.5045454545454545,-0.4463559104844812,0.3976635352077997,0.5818322403423648,-0.034377597081625084,0.034377597081625084,24,0.125,0.5333333333333333
Willie Cochran,5,0,0.6000000000000001,-0.45875439590519296,0.5471365775967317,0.42363108819563516,-0.030282655229849447,0.030282655229849447,22,0.09090909090909091,0.3227272727272727
Stephanie Coleman,5,0,0.43999999999999995,-0.43897207638434477,0.5108598115586476,0.45743367454524686,-0.023649885084032755,0.023649885084032755,27,0.1111111111111111,0.24074074074074067
Matt Martin,31,0,0.5903225806451612,-0.41901462497786035,0.2778122318557258,0.7403178167806633,-0.023500487238327126,0.023500487238327126,64,0.03125,0.63359375
Madeline Haithcock,8,0.125,0.26249999999999996,-0.4266658733020634,0.3892637433673578,0.5921831417437351,-0.023329072707871167,0.023329072707871167,11,0.18181818181818182,0.009090909090909054
Leslie Hairston,9,0,0.7611111111111111,-0.431379367862331,0.4784247076010391,0.4901298550685358,-0.021618904810747082,0.021618904810747082,23,0.17391304347826086,0.40217391304347827
Ted Thomas,3,0,0.33333333333333337,-0.42616625469867575,0.6330143754514802,0.35446397994451256,-0.013787022369147023,0.013787022369147023,3,0,0.33333333333333337
Toni Foulkes,1,0,0.2999999999999999,-0.4491432567247893,1.051249093174694,0.1660400007099724,-0.010273295589212545,0.010273295589212545,16,0.125,0.41875
Michael Rodriguez,5,0.2,0.3500000000000001,-0.40343768814233094,0.5044164807998766,0.4637406213563842,-0.007497222729063983,0.007497222729063983,20,0.2,0.11250000000000009
Jason Ervin,24,0.3333333333333333,0.11249999999999993,-0.395373766533511,0.2659204658816643,0.7567820710910539,-0.006132147118766036,0.006132147118766036,72,0.3472222222222222,0.17430555555555546
Arenda Troutman,3,0.3333333333333333,0.6499999999999999,-0.38514311404627655,0.6305426780074745,0.35625642646541156,7.580171770057589e-4,-7.580171770057589e-4,3,0.3333333333333333,0.6499999999999999
Mary Ann Smith,3,0.3333333333333333,0.9333333333333332,-0.3828353984305948,0.6726359078277302,0.3271956238579242,0.0014512581112620044,-0.0014512581112620044,7,0.2857142857142857,1.357142857142857
Charles Bernardini,1,0,0.1999999999999999,-0.3623622473482481,1.0474225581990049,0.16705236487399303,0.004161039839074732,-0.004161039839074732,1,0,0.1999999999999999
Nicole Lee,10,0.1,0.485,-0.3752540585490429,0.3568219886357704,0.6334480963555511,0.007612009347619271,-0.007612009347619271,39,0.1794871794871795,0.30641025641025643
Ray Suarez,10,0.1,0.33999999999999997,-0.3671547298733584,0.3649046399511418,0.6229855639336752,0.012532048191336102,-0.012532048191336102,24,0.125,0.4437499999999999
John Arena,9,0.2222222222222222,0.5,-0.35996701163933764,0.40933314147248845,0.5676950830512261,0.015500250913039852,-0.015500250913039852,30,0.1,0.365
Ameya Pawar,36,0.05555555555555555,0.6180555555555555,-0.3624440525766057,0.2572446762049722,0.7687838080057247,0.019086434619211994,-0.019086434619211994,84,0.09523809523809523,0.7136904761904762
Ricardo Munoz,11,0.18181818181818182,0.17272727272727273,-0.35502883932819795,0.3545424825244375,0.6364191358284476,0.020519428227560692,-0.020519428227560692,32,0.09375,0.384375
Ronnie Mosley,11,0.09090909090909091,0.7045454545454546,-0.3446438442639419,0.47966933064622447,0.48883136860796084,0.020837414218879895,-0.020837414218879895,26,0.11538461538461539,0.5
Latasha Thomas,18,0.05555555555555555,0.5194444444444445,-0.3530549709095254,0.35473378420110163,0.6361694628869787,0.0217670930833371,-0.0217670930833371,25,0.2,0.26199999999999996
Deborah Graham,5,0.2,0.15,-0.33452043267355336,0.512926389139551,0.455430437259086,0.02402414252170239,-0.02402414252170239,8,0.25,0.006250000000000026
Nicholas Sposato,17,0.11764705882352941,0.35294117647058826,-0.3468099674594729,0.33861175873767646,0.657416783026466,0.026599658753402974,-0.026599658753402974,47,0.0425531914893617,0.5308510638297872
Timothy Cullerton,3,0.3333333333333333,0.41666666666666685,-0.29997323111664365,0.6304058779291689,0.35635595593027103,0.031109023996606224,-0.031109023996606224,10,0.2,0.3600000000000001
Manuel Flores,37,0.10810810810810811,0.4554054054054054,-0.34139919158014553,0.2042183379167987,0.840658065956726,0.038562373914614874,-0.038562373914614874,46,0.1956521739130435,0.3597826086956522
Brian Hopkins,27,0.1111111111111111,0.33703703703703697,-0.335582844303306,0.22934594277943965,0.8070646977376623,0.04171555918858647,-0.04171555918858647,64,0.046875,0.459375
David Moore,4,0,0.5250000000000001,-0.2815158463184986,0.5722922133022421,0.4018440421280549,0.042497015413320016,-0.042497015413320016,24,0.125,0.8187500000000001
Andre Vasquez,14,0.07142857142857142,0.8714285714285714,-0.30674123824641875,0.3809731796854057,0.602538629358288,0.04852219777832668,-0.04852219777832668,38,0.02631578947368421,0.9552631578947368
JoAnn Thompson,6,0.3333333333333333,0.55,-0.272796920976099,0.4655800582963451,0.5037358943042425,0.05766462357496186,-0.05766462357496186,17,0.29411764705882354,0.05882352941176465
Tom Tunney,44,0.11363636363636363,0.6647727272727272,-0.30825099965362157,0.2395421845126672,0.7931556512501848,0.06267503545238097,-0.06267503545238097,109,0.11926605504587157,0.5454128440366972
Virgil E. Jones,2,0,0.5000000000000001,-0.14958773028683048,0.7644134365599501,0.27354595463275866,0.06501725401594034,-0.06501725401594034,2,0,0.5000000000000001
Thomas Allen,13,0,0.5461538461538462,-0.27596736306758984,0.35238253847927703,0.6392423632089477,0.0711498996592513,-0.0711498996592513,20,0.05,0.44250000000000006
Vi Daley,16,0.25,0.41250000000000003,-0.2594754587575583,0.2993272432003829,0.7106282241465053,0.0908150070849214,-0.0908150070849214,21,0.23809523809523808,0.5904761904761905
Bennett Lawson,5,0,0.7499999999999999,-0.19001522805121507,0.5002341688772808,0.4678841099776475,0.09229276792175693,-0.09229276792175693,13,0,0.9423076923076923
Lona Lane,5,0,0.58,-0.15981606150030636,0.5371853127611548,0.4326188382265707,0.09840122339854478,-0.09840122339854478,8,0,0.39999999999999997
Ariel Reboyras,31,0.03225806451612903,0.4645161290322581,-0.2617808128381256,0.23832471067875033,0.7948225776502925,0.09974230938426752,-0.09974230938426752,82,0.036585365853658534,0.5774390243902439
George Cardenas,25,0.08,0.51,-0.22038589993205093,0.2504957356614431,0.7780999950353558,0.12985317351126133,-0.12985317351126133,76,0.10526315789473684,0.5914473684210526
William Hall,2,0,1.4,0.12492420092238987,0.8044058554967238,0.2537528870101581,0.12997097115280593,-0.12997097115280593,5,0,0.65
Milagros Santiago,6,0,0.5166666666666666,-0.12786036846657733,0.45127833327356104,0.5193262153130342,0.13471866004451594,-0.13471866004451594,21,0.047619047619047616,0.38571428571428573
Rey Colon,16,0.0625,0.575,-0.19280486376254524,0.29191350245397196,0.7208329194265113,0.14017747967128252,-0.14017747967128252,37,0.08108108108108109,0.6081081081081081
Leni Manaa-Hoppenworth,2,0,1.5499999999999998,0.1830897383991772,0.8024141637313481,0.2546929099119577,0.1452667962210047,-0.1452667962210047,9,0,1.3333333333333333
Jesse Granato,12,0.16666666666666666,0.6333333333333333,-0.15073223407956604,0.3257753343069971,0.6746068680971685,0.15957057026805266,-0.15957057026805266,15,0.2,0.6599999999999999
Emma Mitts,12,0.16666666666666666,0.4374999999999999,-0.121752209659034,0.36794039925478905,0.6190858783480593,0.1643788364499552,-0.1643788364499552,38,0.05263157894736842,0.5723684210526315
Helen Shiller,8,0,1.0999999999999999,-0.07022977657451124,0.44288930419485706,0.5286865281249923,0.1676153407757195,-0.1676153407757195,13,0.07692307692307693,0.7692307692307693
Sandi Jackson,2,0,1.6,0.36325020777826644,0.8624557021865868,0.22827881170085024,0.17132805366880285,-0.17132805366880285,3,0,1.0666666666666669
James Cappleman,7,0,1.1571428571428573,-0.018490318128174643,0.4534941551437073,0.5168803881907492,0.19061542094501693,-0.19061542094501693,30,0,1.66
Felix Cardona Jr.,6,0,0.7333333333333334,0.019782671048533373,0.45629950626393134,0.513799788036929,0.20914400932935437,-0.20914400932935437,27,0,0.2962962962962963
Jeylu Gutierrez,1,0,1.8,0.9357228666597583,1.062441364297965,0.16312779844218314,0.21581705123871361,-0.21581705123871361,3,0,0.6833333333333333
Timmy Knudsen,6,0,0.7333333333333333,0.030410025919402894,0.45301807992824855,0.5174049432691377,0.21611014638002082,-0.21611014638002082,18,0,1.011111111111111
Shirley Coleman,1,0,1.8,0.9611647953742839,1.0577835788602783,0.1643309769224637,0.2215897458003868,-0.2215897458003868,1,0,1.8
Michael Chandler,9,0,0.5222222222222221,-0.003410172764795938,0.3924764363247183,0.5882072068701891,0.22578961277115422,-0.22578961277115422,14,0.07142857142857142,0.45
Ed Burke,15,0,0.6633333333333334,-0.02915407192913655,0.32922301532819653,0.669968198326201,0.23992684802409436,-0.23992684802409436,30,0.03333333333333333,0.4583333333333333
Billy Ocasio,21,0.09523809523809523,0.6166666666666667,-0.07130147986366975,0.26119982153017046,0.7633149838919334,0.24118414946873304,-0.24118414946873304,22,0.09090909090909091,0.6022727272727273
Roberto Maldonado,70,0.1,0.48785714285714277,-0.1133172178798465,0.16429150638897652,0.8907307652544,0.24401892230617045,-0.24401892230617045,151,0.10596026490066225,0.5764900662251654
Daniel Solis,51,0.09803921568627451,0.6656862745098038,-0.072924746239039,0.1951614746247231,0.8524386731484954,0.2679607697841797,-0.2679607697841797,131,0.11450381679389313,0.7217557251908396
Daniel La Spata,27,0.14814814814814814,0.6148148148148148,-0.032787651171778176,0.22762561155975616,0.8093986571185702,0.28691821958105745,-0.28691821958105745,57,0.08771929824561403,0.7228070175438596
Isaac Carothers,7,0,0.7071428571428571,0.2022018716815115,0.46353978220470077,0.5059316125702684,0.29823288119512,-0.29823288119512,7,0,0.7071428571428571
William Banks,8,0,0.7625,0.15586821536093431,0.42481405915288584,0.5493906198941111,0.2983955040594886,-0.2983955040594886,10,0,0.61
Bernie Hansen,2,0,1.9,0.8737157785204941,0.7564033616125702,0.2777524744488342,0.350242154423673,-0.350242154423673,5,0,1.06
Gilbert Villegas,17,0.058823529411764705,0.6735294117647059,0.11305759665884052,0.2943899920545013,0.7174202950631613,0.3589457769363412,-0.3589457769363412,56,0.05357142857142857,0.5196428571428572
Proco Joe Moreno,125,0.072,0.6619999999999998,0,0,1,0.38727084317814486,-0.38727084317814486,250,0.08,0.7514
Jessie Fuentes,10,0,0.8600000000000001,0.22864186502475858,0.34898602935819006,0.6436973619649757,0.3964613854709128,-0.3964613854709128,21,0,0.8571428571428572
Michael Wojcik,1,0,2.8,2.0056630719416404,1.0526014553826128,0.1656842685428334,0.3964715053979603,-0.3964715053979603,5,0,0.7399999999999999
Brendan Reilly,3,0,1.6666666666666667,0.7856181686580808,0.6178480569539098,0.36563866178782684,0.4288535687134441,-0.4288535687134441,12,0.16666666666666666,0.75
"Walter Burnett, Jr.",88,0.11363636363636363,0.7369318181818181,0.13138218045584704,0.1546829861352278,0.9019212464284264,0.4677841815398421,-0.4677841815398421,265,0.09811320754716982,0.8828301886792452
Chris Taliaferro,9,0,0.9277777777777779,0.4693156922497259,0.4153180083794389,0.5605570112398349,0.4801655881677322,-0.4801655881677322,33,0.030303030303030304,0.45
Deb Mell,18,0.05555555555555555,1.1027777777777776,0.27047303065618555,0.28126447867504195,0.7355412079759747,0.4837977234989005,-0.4837977234989005,39,0.05128205128205128,1.0256410256410255
John Rice,1,0,3.8,3.356085980698019,1.0699143361626147,0.16122308595607432,0.6035155389800442,-0.6035155389800442,3,0,1.3666666666666667
Byron Sigcho-Lopez,17,0,1.3529411764705883,0.7170341984829083,0.27910565359600253,0.7385278801998842,0.8155600615119825,-0.8155600615119825,62,0.03225806451612903,1.1774193548387095
Anabel Abarca,0,NA,NA,NA,NA,NA,NA,NA,1,0,0
Barbara Holt,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Darcel Beavers,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Desmon Yancy,0,NA,NA,NA,NA,NA,NA,NA,1,1,-1
Jeanette Taylor,0,NA,NA,NA,NA,NA,NA,NA,6,0,0.7333333333333333
John J. Buchanan,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
John O. Steele,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Lamont Robinson,0,NA,NA,NA,NA,NA,NA,NA,8,0,1.0875000000000001
Leonard DeVille,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Lorraine Dixon,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Mary O'Connor,0,NA,NA,NA,NA,NA,NA,NA,3,0,0.33333333333333337
Melvin Powell Sr.,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Natashia Holmes,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Percy Z. Giles,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Ray Frias,0,NA,NA,NA,NA,NA,NA,NA,1,0,2.1
Robert Shaw,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Sam Burrell,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Shirley Newsome,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Terry Gabinski,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Terry Peterson,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Vilma Colom,0,NA,NA,NA,NA,NA,NA,NA,1,0,0.7999999999999998
