id,block_vintage,reviewed_block_id
2129450,2010,
2134755,2010,
2134768,2010,
2134774,2010,
2134784,2010,
2134793,2010,
2134795,2010,
2134842,2010,
2134846,2010,
2134850,2010,
2134853,2010,
2134855,2010,
2134857,2010,
2147722,2010,
2160733,2010,
2163785,2010,
2171189,2010,
2218906,2010,
2268061,2010,
2302937,2010,
2358312,2010,
2361073,2010,
2381488,2010,
2383414,2010,
2383417,2010,
2383418,2010,
2383419,2010,
2383420,2010,
2391128,2010,
2408391,2010,
2468912,2010,
2505817,2010,
2527438,2010,
2539326,2010,
2565634,2010,
2625448,2010,
2627290,2010,
2629425,2010,
2630815,2010,
2640069,2010,
2652628,2010,
2658704,2010,
2659429,2010,
2662771,2010,
2664023,2010,
2678706,2010,
2684707,2010,
2719983,2010,
2736599,2010,
2770718,2010,
2805898,2010,
2821957,2010,
2824881,2010,
2824882,2010,
2824883,2010,
2824884,2010,
2825343,2010,
2835917,2010,
2855412,2010,
2858047,2010,
2866299,2010,
2866932,2010,
2869514,2010,
2872112,2010,
2895555,2010,
2895577,2010,
2895641,2010,
2897884,2010,
2905170,2010,
2912415,2010,
2939928,2010,
2964238,2010,
2964691,2010,
2964696,2010,
2990645,2010,
3007853,2010,
3008373,2010,
3008877,2010,
3012434,2010,
3020051,2010,
3023046,2010,
3026961,2010,
3026965,2010,
3027054,2010,
3027395,2010,
3030214,2010,
3043268,2010,
3046216,2010,
3047128,2010,
3053553,2010,
3053566,2010,
3057577,2010,
3061969,2010,
3066826,2010,
3078259,2010,
3078706,2010,
3079002,2010,
3091509,2010,
3091524,2010,
3092576,2010,
3100486,2010,
3105996,2010,
3109006,2010,
3121477,2010,
3132168,2010,
3133013,2010,
3133016,2010,
3133017,2010,
3148395,2010,
3159204,2010,
2129450,2020,
2134755,2020,
2134768,2020,
2134774,2020,
2134784,2020,
2134793,2020,
2134795,2020,
2134842,2020,
2134846,2020,
2134850,2020,
2134853,2020,
2134855,2020,
2134857,2020,
2160733,2020,
2163785,2020,
2268061,2020,
2505817,2020,
3023046,2020,
3043268,2020,
