candidate,own_coverage,neighbor_coverage,signed_coverage,n_fe,fe_coef,fe_se,fe_p,fe_t,fe_signal,n_rd_main,rd_coef_main,rd_se_main,rd_p_main,rd_t_main,rd_signal_main,sign_ok_fe,sign_ok_rd,combined_p,rank_score
eb_down_share_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.031177449362399183,0.023129278041243928,0.18101576556326734,-1.3479646579025868,1.3479646579025868,871,-0.2485673542423914,0.1563038689004588,0.11177107393269754,-1.5902827997219318,1.5902827997219318,TRUE,TRUE,0.2927868394959649,1.4448919146303247
eb_down_share_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.031177449362399183,0.023129278041243928,0.18101576556326734,-1.3479646579025868,1.3479646579025868,871,-0.2485673542423914,0.1563038689004588,0.11177107393269754,-1.5902827997219318,1.5902827997219318,TRUE,TRUE,0.2927868394959649,1.4448919146303247
raw_down_share_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.024515505493288483,0.019780472944214488,0.2183920187375625,-1.2393791373152645,1.2393791373152645,864,-0.2531533044446963,0.1568401313469416,0.10650898907000717,-1.614085006628202,1.614085006628202,TRUE,TRUE,0.3249010078075697,1.3892614850404394
raw_down_share_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.024515505493288483,0.019780472944214488,0.2183920187375625,-1.2393791373152645,1.2393791373152645,864,-0.2531533044446963,0.1568401313469416,0.10650898907000717,-1.614085006628202,1.614085006628202,TRUE,TRUE,0.3249010078075697,1.3892614850404394
eb_far_down_share_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.023964115118105762,0.02381937319847811,0.3170464369705137,-1.0060766468715012,1.0060766468715012,872,-0.3457909291726846,0.19038165249089595,0.06932377437123789,-1.8163038541186123,1.8163038541186123,TRUE,TRUE,0.3863702113417516,1.3301675297703457
eb_far_down_share_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.023964115118105762,0.02381937319847811,0.3170464369705137,-1.0060766468715012,1.0060766468715012,872,-0.3457909291726846,0.19038165249089595,0.06932377437123789,-1.8163038541186123,1.8163038541186123,TRUE,TRUE,0.3863702113417516,1.3301675297703457
comp_adj_down_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.03385187024925349,0.027704902945624724,0.2249114312761752,-1.2218729051566493,1.2218729051566493,871,-0.1647825941918093,0.17455531125854049,0.34516267976811965,-0.9440136367305578,0.9440136367305578,TRUE,TRUE,0.5700741110442948,1.1107291977862128
comp_adj_down_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.03385187024925349,0.027704902945624724,0.2249114312761752,-1.2218729051566493,1.2218729051566493,871,-0.1647825941918093,0.17455531125854049,0.34516267976811965,-0.9440136367305578,0.9440136367305578,TRUE,TRUE,0.5700741110442948,1.1107291977862128
raw_far_down_share_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.018843878191457608,0.018069543931491117,0.2997789387181526,-1.0428530051949458,1.0428530051949458,864,-0.10184190170979335,0.1819358414634178,0.5756375447192495,-0.559768217689371,0.559768217689371,TRUE,TRUE,0.8754164834374021,0.8496190901927159
raw_far_down_share_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.018843878191457608,0.018069543931491117,0.2997789387181526,-1.0428530051949458,1.0428530051949458,864,-0.10184190170979335,0.1819358414634178,0.5756375447192495,-0.559768217689371,0.559768217689371,TRUE,TRUE,0.8754164834374021,0.8496190901927159
eb_net_restrictive_t0,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.0047441044903610416,0.024792833239285494,0.8486778188436587,-0.19134983261387686,0.19134983261387686,872,-0.23486569759320908,0.16719850640907996,0.16010702623716128,-1.4047116965182074,1.4047116965182074,TRUE,TRUE,1.00878484508082,0.6766945781756091
eb_net_restrictive_t01,0.9998873789323522,0.9997747578647046,0.9996621367970568,858,-0.0047441044903610416,0.024792833239285494,0.8486778188436587,-0.19134983261387686,0.19134983261387686,872,-0.23486569759320908,0.16719850640907996,0.16010702623716128,-1.4047116965182074,1.4047116965182074,TRUE,TRUE,1.00878484508082,0.6766945781756091
